indicativo,fecha,tmax,tmin,tmed,tmed_derivada,hrMax,hrMedia,hrMin,velmedia,racha,prec,prec_0707,sol,n_horas,completo
9698U,2026-07-28 00:00:00+00:00,36.1,26.2,32.17,31.15,44.0,25.7,19.0,3.93,12.1,0.0,0.0,569.0,12,False
9707,2026-07-28 00:00:00+00:00,38.7,29.5,35.5,34.1,33.0,15.8,12.0,3.88,10.2,0.0,0.0,,11,False
9718X,2026-07-28 00:00:00+00:00,37.0,26.3,33.25,31.65,42.0,33.2,25.0,4.01,9.2,0.0,0.0,,11,False
9724X,2026-07-28 00:00:00+00:00,36.0,25.5,32.82,30.75,54.0,32.2,21.0,3.57,9.3,0.0,0.0,,12,False
9726E,2026-07-28 00:00:00+00:00,32.3,21.4,28.04,26.85,75.0,49.2,41.0,4.13,9.4,0.0,0.0,,12,False
9729X,2026-07-28 00:00:00+00:00,37.2,27.5,33.59,32.35,57.0,41.5,34.0,2.12,7.8,0.0,0.0,,11,False
9744B,2026-07-28 00:00:00+00:00,33.1,21.5,29.65,27.3,58.0,33.8,25.0,2.53,8.0,0.0,0.0,,11,False
9751,2026-07-28 00:00:00+00:00,35.7,26.3,32.61,31.0,38.0,27.4,21.0,2.92,10.0,0.0,0.0,,12,False
9756X,2026-07-28 00:00:00+00:00,34.3,25.7,31.48,30.0,61.0,34.4,26.0,2.61,10.5,0.0,0.0,,12,False
9771C,2026-07-28 00:00:00+00:00,38.7,27.9,33.84,33.3,51.0,35.9,21.0,2.14,7.3,0.0,0.0,576.3,12,False
9772X,2026-07-28 00:00:00+00:00,34.0,25.6,30.47,29.8,46.0,38.8,32.0,,,0.0,0.0,,12,False
9775X,2026-07-28 00:00:00+00:00,38.0,26.7,32.75,32.35,55.0,41.8,32.0,,,0.0,0.0,,12,False
9776D,2026-07-28 00:00:00+00:00,38.4,25.2,33.23,31.8,51.0,36.1,27.0,2.82,8.0,0.0,0.0,,12,False
9808X,2026-07-28 00:00:00+00:00,36.6,28.2,33.82,32.4,44.0,31.8,27.0,4.33,10.5,0.0,0.0,,12,False
9812M,2026-07-28 00:00:00+00:00,34.7,22.4,29.9,28.55,41.0,26.4,19.0,0.82,5.6,,,,12,False
9814I,2026-07-28 00:00:00+00:00,25.4,19.3,22.76,22.35,52.0,38.5,31.0,3.62,10.8,0.0,0.0,,13,False
9814X,2026-07-28 00:00:00+00:00,,,,,41.0,26.1,19.0,2.15,8.4,0.0,0.0,,12,False
9838B,2026-07-28 00:00:00+00:00,33.9,20.6,29.72,27.25,55.0,32.0,23.0,2.59,9.2,0.0,0.0,,12,False
9839V,2026-07-28 00:00:00+00:00,21.1,15.1,18.64,18.1,57.0,48.7,40.0,1.93,14.5,0.0,0.0,,13,False
9843A,2026-07-28 00:00:00+00:00,35.5,24.2,31.98,29.85,47.0,33.0,28.0,1.98,8.5,0.0,0.0,,12,False
9855E,2026-07-28 00:00:00+00:00,35.8,26.3,32.97,31.05,36.0,19.8,14.0,2.95,9.3,0.0,0.0,,12,False
9866C,2026-07-28 00:00:00+00:00,37.2,27.3,33.87,32.25,56.0,36.2,27.0,1.92,5.9,0.0,0.0,,12,False
9882X,2026-07-28 00:00:00+00:00,35.0,25.1,31.58,30.05,58.0,29.6,18.0,2.9,8.7,0.0,0.0,,12,False
9894Y,2026-07-28 00:00:00+00:00,37.3,27.2,33.43,32.25,58.0,39.0,29.0,2.48,6.6,0.0,0.0,,12,False
9898,2026-07-28 00:00:00+00:00,36.7,26.4,33.42,31.55,53.0,27.8,18.0,2.28,6.8,0.0,0.0,553.7,12,False
9901X,2026-07-28 00:00:00+00:00,36.1,28.9,33.34,32.5,46.0,34.9,28.0,,,0.0,0.0,,12,False
9908X,2026-07-28 00:00:00+00:00,36.0,26.9,32.76,31.45,49.0,37.0,29.0,3.28,7.7,0.0,0.0,,12,False
9911X,2026-07-28 00:00:00+00:00,37.2,27.9,33.5,32.55,57.0,42.5,35.0,2.91,8.1,0.0,0.0,,12,False
