indicativo,fecha,tmax,tmin,tmed,tmed_derivada,hrMax,hrMedia,hrMin,velmedia,racha,prec,prec_0707,sol,n_horas,completo
0002I,2026-07-28 00:00:00+00:00,31.4,25.7,28.65,28.55,85.0,70.7,60.0,1.91,6.2,0.0,0.0,,13,False
0009X,2026-07-28 00:00:00+00:00,32.5,22.5,28.76,27.5,89.0,62.8,49.0,2.22,7.1,0.0,0.0,,12,False
0016A,2026-07-28 00:00:00+00:00,31.9,25.7,29.47,28.8,86.0,66.8,55.0,4.6,9.8,0.0,0.0,554.0,13,False
0034X,2026-07-28 00:00:00+00:00,32.0,24.1,29.08,28.05,86.0,61.4,49.0,,,0.0,0.0,,12,False
0042Y,2026-07-28 00:00:00+00:00,30.7,26.3,28.69,28.5,81.0,71.2,63.0,2.31,7.8,0.0,0.0,,13,False
0061X,2026-07-28 00:00:00+00:00,30.4,21.5,27.0,25.95,66.0,46.9,38.0,5.38,10.5,0.0,0.0,,12,False
0066X,2026-07-28 00:00:00+00:00,33.7,24.7,30.42,29.2,85.0,59.1,45.0,2.18,8.8,0.0,0.0,,12,False
0073X,2026-07-28 00:00:00+00:00,31.8,26.2,29.32,29.0,81.0,69.1,61.0,2.66,8.3,0.0,0.0,,12,False
0076,2026-07-28 00:00:00+00:00,31.6,25.8,29.06,28.7,83.0,70.3,61.0,7.39,13.4,0.0,0.0,558.0,13,False
0092X,2026-07-28 00:00:00+00:00,34.4,25.9,30.93,30.15,60.0,45.7,33.0,3.55,9.3,0.0,0.0,,12,False
0106X,2026-07-28 00:00:00+00:00,35.8,26.5,32.19,31.15,52.0,41.0,34.0,4.44,10.7,0.0,0.0,,12,False
0114X,2026-07-28 00:00:00+00:00,35.3,21.9,30.73,28.6,67.0,41.6,32.0,1.93,7.6,0.0,0.0,,13,False
0120X,2026-07-28 00:00:00+00:00,32.2,22.9,28.38,27.55,69.0,49.9,32.0,2.68,10.3,0.0,0.0,,13,False
0131X,2026-07-28 00:00:00+00:00,36.8,23.3,31.92,30.05,66.0,35.5,20.0,2.02,7.2,0.0,0.0,,13,False
0149X,2026-07-28 00:00:00+00:00,35.8,25.0,31.19,30.4,69.0,44.2,34.0,3.32,10.8,0.0,0.0,584.0,13,False
0158X,2026-07-28 00:00:00+00:00,29.3,25.3,27.2,27.3,62.0,54.0,41.0,,,0.0,0.0,,10,False
0171F,2026-07-28 00:00:00+00:00,37.0,23.0,31.61,30.0,58.0,40.0,31.0,3.08,9.5,0.0,0.0,,13,False
0194D,2026-07-28 00:00:00+00:00,32.9,21.4,27.13,27.15,91.0,60.0,45.0,,,0.0,0.0,,12,False
0201D,2026-07-28 00:00:00+00:00,30.1,27.2,28.7,28.65,73.0,64.3,54.0,6.55,13.5,0.0,0.0,,13,False
0201X,2026-07-28 00:00:00+00:00,31.0,27.1,29.49,29.05,74.0,61.8,54.0,3.86,10.8,0.0,0.0,,12,False
0222X,2026-07-28 00:00:00+00:00,34.2,24.0,30.96,29.1,64.0,48.6,43.0,4.11,11.6,0.0,0.0,,12,False
0244X,2026-07-28 00:00:00+00:00,30.8,25.4,28.93,28.1,80.0,69.8,65.0,3.81,11.1,0.0,0.0,,13,False
0252D,2026-07-28 00:00:00+00:00,30.2,24.8,27.87,27.5,82.0,71.8,63.0,3.52,10.9,0.0,0.0,,13,False
0260X,2026-07-28 00:00:00+00:00,29.0,21.2,25.72,25.1,73.0,58.2,45.0,,,0.0,0.0,,12,False
0281Y,2026-07-28 00:00:00+00:00,31.5,26.1,28.85,28.8,82.0,68.4,55.0,4.98,12.5,0.0,0.0,,12,False
0284X,2026-07-28 00:00:00+00:00,30.5,25.6,28.32,28.05,82.0,73.0,68.0,2.83,9.8,0.0,0.0,,12,False
0312X,2026-07-28 00:00:00+00:00,30.0,21.0,26.67,25.5,90.0,63.5,46.0,1.81,6.5,0.0,0.0,,12,False
0324A,2026-07-28 00:00:00+00:00,36.1,21.5,30.18,28.8,88.0,48.5,26.0,2.27,8.1,0.0,0.0,,13,False
0360X,2026-07-28 00:00:00+00:00,34.0,21.9,29.66,27.95,85.0,60.2,45.0,0.69,4.4,0.0,0.0,,13,False
0363X,2026-07-28 00:00:00+00:00,32.5,21.2,28.21,26.85,81.0,55.9,43.0,1.51,5.9,0.0,0.0,,12,False
0367,2026-07-28 00:00:00+00:00,33.6,25.3,30.48,29.45,85.0,59.9,45.0,3.96,9.8,0.0,0.0,558.0,13,False
0370E,2026-07-28 00:00:00+00:00,34.2,26.3,31.3,30.25,73.0,51.2,39.0,2.22,7.1,0.0,0.0,,13,False
0372C,2026-07-28 00:00:00+00:00,35.2,25.1,30.98,30.15,76.0,53.5,39.0,2.45,8.2,0.0,0.0,,13,False
0385X,2026-07-28 00:00:00+00:00,29.5,26.6,28.03,28.05,78.0,72.6,69.0,3.54,9.2,0.0,0.0,,13,False
0394X,2026-07-28 00:00:00+00:00,32.8,23.8,29.55,28.3,83.0,55.5,40.0,2.35,8.9,0.0,0.0,,13,False
0411X,2026-07-28 00:00:00+00:00,29.8,25.0,27.94,27.4,90.0,77.4,64.0,2.82,9.9,0.0,0.0,,12,False
0413A,2026-07-28 00:00:00+00:00,32.0,23.7,29.04,27.85,82.0,59.2,46.0,1.54,5.6,0.0,0.0,,12,False
0421X,2026-07-28 00:00:00+00:00,32.3,25.7,30.01,29.0,75.0,57.3,43.0,2.89,8.2,0.0,0.0,,12,False
0429X,2026-07-28 00:00:00+00:00,31.0,27.4,29.65,29.2,72.0,63.2,49.0,2.08,7.4,0.0,0.0,,13,False
0433D,2026-07-28 00:00:00+00:00,29.5,26.1,27.75,27.8,87.0,73.5,46.0,4.08,,,,,13,False
0433X,2026-07-28 00:00:00+00:00,32.6,24.4,29.38,28.5,83.0,60.7,38.0,1.4,8.3,0.0,0.0,,13,False
1002Y,2026-07-28 00:00:00+00:00,38.4,20.8,31.32,29.6,89.0,45.2,22.0,1.39,7.4,0.0,0.0,,13,False
1010X,2026-07-28 00:00:00+00:00,38.1,21.1,31.03,29.6,85.0,50.7,29.0,1.22,5.9,0.0,0.0,,13,False
1012P,2026-07-28 00:00:00+00:00,33.3,22.9,29.02,28.1,74.0,61.3,51.0,0.88,3.6,0.0,0.0,,13,False
1014A,2026-07-28 00:00:00+00:00,31.6,23.5,27.77,27.55,76.0,61.5,53.0,2.44,5.1,0.0,0.0,,13,False
1021X,2026-07-28 00:00:00+00:00,36.6,21.9,31.02,29.25,82.0,51.2,29.0,1.35,6.2,0.0,0.0,,13,False
1024X,2026-07-28 00:00:00+00:00,31.1,22.0,28.23,26.55,68.0,58.9,50.0,2.18,4.7,0.0,0.0,,13,False
1025A,2026-07-28 00:00:00+00:00,39.6,23.0,33.88,31.3,55.0,29.8,17.0,1.44,6.9,0.0,0.0,,13,False
1025X,2026-07-28 00:00:00+00:00,39.1,22.7,32.94,30.9,64.0,33.2,17.0,1.66,7.7,0.0,0.0,,13,False
1026X,2026-07-28 00:00:00+00:00,39.5,24.9,33.76,32.2,55.0,33.2,18.0,1.41,8.0,0.0,0.0,,13,False
1033X,2026-07-28 00:00:00+00:00,35.6,21.3,29.85,28.45,72.0,42.1,26.0,1.47,9.8,0.0,0.0,,13,False
1037X,2026-07-28 00:00:00+00:00,36.7,23.9,32.2,30.3,47.0,30.9,22.0,,,0.0,0.0,,12,False
1037Y,2026-07-28 00:00:00+00:00,37.8,23.4,32.62,30.6,53.0,29.3,18.0,2.03,7.9,0.0,0.0,,13,False
1038X,2026-07-28 00:00:00+00:00,37.9,21.8,31.33,29.85,77.0,44.6,22.0,1.02,6.6,0.0,0.0,,13,False
1041A,2026-07-28 00:00:00+00:00,29.9,23.0,26.98,26.45,91.0,72.2,62.0,2.95,6.8,0.0,0.0,,13,False
1044X,2026-07-28 00:00:00+00:00,34.5,23.5,29.36,29.0,49.0,38.7,26.0,,,0.0,0.0,,12,False
1048X,2026-07-28 00:00:00+00:00,38.0,24.1,32.82,31.05,52.0,31.4,20.0,,,0.0,0.0,,12,False
1049N,2026-07-28 00:00:00+00:00,36.5,21.4,30.61,28.95,58.0,37.6,22.0,0.91,5.9,0.0,0.0,,13,False
1050J,2026-07-28 00:00:00+00:00,38.9,21.8,30.91,30.35,77.0,44.8,22.0,1.89,7.5,0.0,0.0,,13,False
1052A,2026-07-28 00:00:00+00:00,29.5,22.7,26.27,26.1,71.0,64.0,51.0,1.81,5.2,0.0,0.0,,13,False
1056K,2026-07-28 00:00:00+00:00,32.2,22.0,28.02,27.1,88.0,66.2,53.0,2.38,7.7,0.0,0.0,,13,False
1057B,2026-07-28 00:00:00+00:00,26.7,22.6,24.77,24.65,81.0,74.8,61.0,5.29,10.6,0.0,0.0,,11,False
1059X,2026-07-28 00:00:00+00:00,29.4,21.9,25.39,25.65,93.0,75.1,58.0,2.17,5.8,0.0,0.0,,13,False
1060X,2026-07-28 00:00:00+00:00,38.4,24.2,33.79,31.3,60.0,33.8,23.0,2.32,7.5,0.0,0.0,,13,False
1064L,2026-07-28 00:00:00+00:00,39.1,21.7,32.33,30.4,73.0,42.8,26.0,0.78,4.4,0.0,0.0,,13,False
1069Y,2026-07-28 00:00:00+00:00,34.6,23.1,31.53,28.85,53.0,34.5,23.0,,,0.0,0.0,,10,False
1074C,2026-07-28 00:00:00+00:00,38.8,22.2,32.44,30.5,76.0,40.5,20.0,1.21,5.2,0.0,0.0,,13,False
1078C,2026-07-28 00:00:00+00:00,38.5,23.8,32.61,31.15,55.0,34.6,23.0,,,0.0,0.0,,12,False
1078I,2026-07-28 00:00:00+00:00,38.6,23.1,32.61,30.85,57.0,33.1,20.0,1.78,6.5,0.0,0.0,,13,False
1082,2026-07-28 00:00:00+00:00,35.3,22.5,29.54,28.9,87.0,57.2,39.0,2.96,8.2,0.0,0.0,,13,False
1083B,2026-07-28 00:00:00+00:00,37.8,21.2,31.01,29.5,70.0,45.4,28.0,1.08,5.1,0.0,0.0,,13,False
1089U,2026-07-28 00:00:00+00:00,36.1,22.8,31.65,29.45,82.0,53.1,35.0,1.77,6.8,0.0,0.0,,12,False
1096X,2026-07-28 00:00:00+00:00,27.2,21.4,25.42,24.3,95.0,77.2,66.0,1.62,4.9,0.0,0.0,,12,False
1103X,2026-07-28 00:00:00+00:00,31.5,26.1,29.03,28.8,52.0,40.9,33.0,3.15,6.8,0.0,0.0,,11,False
1109X,2026-07-28 00:00:00+00:00,30.1,22.2,26.62,26.15,91.0,70.6,61.0,3.08,9.3,0.0,0.0,565.0,13,False
1111X,2026-07-28 00:00:00+00:00,25.1,22.0,23.72,23.55,93.0,82.2,72.0,4.23,8.3,0.0,0.0,612.6,13,False
1124E,2026-07-28 00:00:00+00:00,34.5,22.1,29.6,28.3,81.0,58.2,36.0,1.65,5.7,0.0,0.0,,13,False
1135C,2026-07-28 00:00:00+00:00,36.6,18.7,30.91,27.65,81.0,42.9,27.0,1.53,8.9,0.0,0.0,,13,False
1152C,2026-07-28 00:00:00+00:00,36.5,22.2,31.24,29.35,71.0,48.9,35.0,1.48,5.6,0.0,0.0,,12,False
1154H,2026-07-28 00:00:00+00:00,29.1,21.1,26.02,25.1,96.0,70.6,53.0,2.14,5.1,0.0,0.0,,13,False
1159,2026-07-28 00:00:00+00:00,26.0,21.5,23.75,23.75,94.0,81.2,69.0,2.32,5.5,0.0,0.0,,13,False
1167B,2026-07-28 00:00:00+00:00,34.3,18.9,27.88,26.6,57.0,33.8,20.0,1.0,7.5,0.0,0.0,,13,False
1167G,2026-07-28 00:00:00+00:00,26.0,18.3,21.94,22.15,51.0,39.4,29.0,3.82,14.6,,,,13,False
1167H,2026-07-28 00:00:00+00:00,22.0,15.9,18.89,18.95,47.0,35.8,28.0,2.52,10.3,,,,13,False
1167J,2026-07-28 00:00:00+00:00,26.1,18.8,22.92,22.45,48.0,35.8,24.0,1.7,12.5,,,,13,False
1174I,2026-07-28 00:00:00+00:00,38.8,23.5,33.84,31.15,57.0,30.8,20.0,2.42,9.7,0.0,0.0,,12,False
1176A,2026-07-28 00:00:00+00:00,32.5,24.3,28.59,28.4,47.0,35.2,32.0,2.41,7.1,0.0,0.0,,12,False
1178E,2026-07-28 00:00:00+00:00,36.9,21.6,29.73,29.25,61.0,35.3,16.0,1.39,8.5,,,,13,False
1178I,2026-07-28 00:00:00+00:00,22.7,18.1,20.28,20.4,48.0,39.9,31.0,2.09,8.9,,,,13,False
1178M,2026-07-28 00:00:00+00:00,25.7,20.1,22.87,22.9,45.0,39.0,31.0,2.71,9.5,,,,12,False
1178R,2026-07-28 00:00:00+00:00,29.0,20.6,25.57,24.8,49.0,37.9,29.0,3.34,7.3,0.0,0.0,,13,False
1178Y,2026-07-28 00:00:00+00:00,33.4,19.0,28.82,26.2,65.0,37.4,22.0,,,0.0,0.0,,12,False
1179B,2026-07-28 00:00:00+00:00,37.2,22.7,31.7,29.95,65.0,42.9,29.0,2.44,8.6,0.0,0.0,,13,False
1183J,2026-07-28 00:00:00+00:00,24.3,20.8,22.58,22.55,95.0,80.5,72.0,2.88,5.9,0.0,0.0,,13,False
1183X,2026-07-28 00:00:00+00:00,28.0,20.8,24.85,24.4,90.0,76.7,65.0,2.06,5.0,0.0,0.0,595.0,13,False
1186P,2026-07-28 00:00:00+00:00,34.7,20.2,29.53,27.45,74.0,54.4,38.0,1.35,7.8,0.0,0.0,,12,False
1191D,2026-07-28 00:00:00+00:00,29.4,19.4,24.86,24.4,50.0,38.1,24.0,2.47,10.3,,,,13,False
1199X,2026-07-28 00:00:00+00:00,34.7,22.9,30.32,28.8,68.0,49.8,35.0,1.16,4.8,0.0,0.0,,12,False
1204X,2026-07-28 00:00:00+00:00,25.3,20.4,22.85,22.85,88.0,78.8,72.0,2.32,5.5,0.0,0.0,,13,False
1207U,2026-07-28 00:00:00+00:00,31.7,20.7,26.96,26.2,87.0,62.5,42.0,2.04,4.9,0.0,0.0,603.1,13,False
1208H,2026-07-28 00:00:00+00:00,25.6,22.2,23.65,23.9,95.0,85.0,80.0,1.81,5.9,0.0,0.0,,13,False
1210X,2026-07-28 00:00:00+00:00,27.2,20.3,22.85,23.75,91.0,77.4,62.0,5.15,10.4,0.0,0.0,,13,False
1212E,2026-07-28 00:00:00+00:00,30.6,19.8,25.8,25.2,91.0,61.7,48.0,2.45,6.2,0.0,0.0,599.0,13,False
1221D,2026-07-28 00:00:00+00:00,28.6,16.0,23.79,22.3,65.0,38.8,19.0,2.68,9.9,0.0,0.0,,13,False
1223P,2026-07-28 00:00:00+00:00,35.8,22.6,30.58,29.2,73.0,47.8,29.0,2.02,7.4,0.0,0.0,,12,False
1226X,2026-07-28 00:00:00+00:00,36.2,19.6,30.42,27.9,74.0,39.7,20.0,1.28,7.4,0.0,0.0,,12,False
1234P,2026-07-28 00:00:00+00:00,36.9,20.7,30.25,28.8,83.0,51.3,31.0,1.25,6.2,0.0,0.0,,13,False
1249X,2026-07-28 00:00:00+00:00,35.4,24.1,30.41,29.75,55.0,38.9,28.0,2.05,8.2,0.0,0.0,607.1,13,False
1263X,2026-07-28 00:00:00+00:00,36.2,20.8,29.72,28.5,59.0,36.7,17.0,2.3,8.5,0.0,0.0,,13,False
1272B,2026-07-28 00:00:00+00:00,37.7,20.6,30.61,29.15,67.0,44.0,22.0,1.45,6.8,0.0,0.0,,13,False
1276F,2026-07-28 00:00:00+00:00,35.7,17.7,28.73,26.7,91.0,51.2,24.0,1.07,8.1,0.0,0.0,,13,False
1279X,2026-07-28 00:00:00+00:00,37.9,21.9,31.53,29.9,65.0,43.6,27.0,2.43,7.7,0.0,0.0,,12,False
1283U,2026-07-28 00:00:00+00:00,27.5,18.8,22.94,23.15,98.0,77.7,60.0,3.37,8.2,0.0,0.0,610.0,13,False
1297E,2026-07-28 00:00:00+00:00,33.7,23.5,30.44,28.6,36.0,27.9,20.0,2.54,8.1,0.0,0.0,,11,False
1302F,2026-07-28 00:00:00+00:00,30.3,17.6,26.9,23.95,77.0,38.1,25.0,1.43,7.4,0.0,0.0,,12,False
1309C,2026-07-28 00:00:00+00:00,35.6,23.9,31.31,29.75,52.0,28.8,16.0,2.92,10.9,0.0,0.0,,12,False
1327A,2026-07-28 00:00:00+00:00,33.3,23.4,28.12,28.35,55.0,49.9,43.0,2.35,8.4,0.0,0.0,,13,False
1331A,2026-07-28 00:00:00+00:00,29.1,18.7,24.69,23.9,97.0,67.8,44.0,2.05,5.3,0.0,0.0,,13,False
1341B,2026-07-28 00:00:00+00:00,32.8,19.5,25.79,26.15,77.0,61.5,45.0,3.44,9.0,0.0,0.0,,11,False
1342X,2026-07-28 00:00:00+00:00,28.7,18.8,25.08,23.75,97.0,69.9,50.0,1.73,5.0,0.0,0.0,,12,False
1344X,2026-07-28 00:00:00+00:00,37.5,19.7,28.84,28.6,86.0,56.8,33.0,1.96,8.2,0.0,0.0,,12,False
1347T,2026-07-28 00:00:00+00:00,24.6,20.8,23.44,22.7,83.0,77.7,72.0,,,0.0,0.0,,9,False
1351,2026-07-28 00:00:00+00:00,26.7,16.7,20.05,21.7,100.0,88.0,63.0,5.52,11.8,0.0,0.0,422.0,13,False
1363X,2026-07-28 00:00:00+00:00,35.9,23.9,32.38,29.9,57.0,39.8,23.0,,,0.0,0.0,,8,False
1387,2026-07-28 00:00:00+00:00,30.3,18.2,22.59,24.25,91.0,72.3,41.0,2.33,6.9,0.0,0.0,584.4,13,False
1387D,2026-07-28 00:00:00+00:00,28.8,17.1,21.02,22.95,100.0,86.2,47.0,2.57,6.2,0.0,0.0,,13,False
1387E,2026-07-28 00:00:00+00:00,30.5,17.8,23.17,24.15,95.0,72.8,44.0,3.22,8.2,0.0,0.0,600.0,13,False
1390X,2026-07-28 00:00:00+00:00,34.5,22.3,30.33,28.4,75.0,47.7,28.0,,,0.0,0.0,,11,False
1393,2026-07-28 00:00:00+00:00,,,,,,,,,,0.0,0.0,,12,False
1399,2026-07-28 00:00:00+00:00,31.2,20.4,28.04,25.8,79.0,42.2,23.0,,,0.0,0.0,,10,False
1400,2026-07-28 00:00:00+00:00,21.3,17.5,19.03,19.4,97.0,87.4,81.0,4.13,8.3,0.0,0.0,22.0,13,False
1406X,2026-07-28 00:00:00+00:00,31.2,24.9,28.96,28.05,57.0,42.8,35.0,,,0.0,0.0,,9,False
1410X,2026-07-28 00:00:00+00:00,33.8,24.8,30.38,29.3,58.0,39.4,30.0,,,0.0,0.0,,10,False
1428,2026-07-28 00:00:00+00:00,31.5,18.6,26.95,25.05,85.0,48.0,30.0,2.89,8.8,0.0,0.0,626.0,13,False
1435C,2026-07-28 00:00:00+00:00,27.8,18.3,22.89,23.05,93.0,76.6,58.0,2.41,6.4,0.0,0.0,,11,False
1437P,2026-07-28 00:00:00+00:00,27.6,19.2,24.15,23.4,64.0,46.9,32.0,3.63,7.8,0.0,0.0,,12,False
1442U,2026-07-28 00:00:00+00:00,27.7,18.8,24.38,23.25,83.0,68.5,60.0,,,0.0,0.0,,12,False
1446X,2026-07-28 00:00:00+00:00,34.7,24.5,30.62,29.6,42.0,34.1,26.0,,,0.0,0.0,,11,False
1466A,2026-07-28 00:00:00+00:00,34.4,22.7,30.41,28.55,53.0,44.1,35.0,2.4,8.1,0.0,0.0,,11,False
1468X,2026-07-28 00:00:00+00:00,31.4,25.8,29.7,28.6,54.0,47.1,38.0,,,0.0,0.0,,8,False
1473A,2026-07-28 00:00:00+00:00,31.0,19.1,25.35,25.05,86.0,60.5,36.0,2.84,7.4,0.0,0.0,,13,False
1475X,2026-07-28 00:00:00+00:00,32.5,19.2,27.15,25.85,88.0,48.5,30.0,1.55,7.1,0.0,0.0,,13,False
1476R,2026-07-28 00:00:00+00:00,30.8,24.4,28.26,27.6,57.0,46.0,37.0,,,0.0,0.0,,8,False
1477V,2026-07-28 00:00:00+00:00,26.2,21.8,24.28,24.0,79.0,72.0,69.0,3.67,7.6,0.0,0.0,,9,False
1484C,2026-07-28 00:00:00+00:00,28.5,19.6,24.36,24.05,88.0,69.7,54.0,1.56,5.8,0.0,0.0,624.1999999999999,13,False
1486E,2026-07-28 00:00:00+00:00,23.1,19.7,21.12,21.4,88.0,84.8,80.0,3.99,9.2,0.0,0.0,,13,False
1489A,2026-07-28 00:00:00+00:00,31.7,25.4,29.53,28.55,64.0,48.5,41.0,2.38,5.9,0.0,0.0,,10,False
1495,2026-07-28 00:00:00+00:00,29.9,17.6,23.94,23.75,93.0,66.7,40.0,3.67,8.2,0.0,0.0,615.0,13,False
1496X,2026-07-28 00:00:00+00:00,24.6,18.7,21.97,21.65,91.0,78.8,70.0,1.64,5.8,0.0,0.0,,13,False
1505,2026-07-28 00:00:00+00:00,37.4,20.0,30.92,28.7,73.0,37.4,17.0,1.83,8.5,0.0,0.0,572.4,13,False
1518A,2026-07-28 00:00:00+00:00,36.4,22.3,32.29,29.35,63.0,34.2,24.0,1.68,7.5,0.0,0.0,,10,False
1521I,2026-07-28 00:00:00+00:00,37.3,21.1,32.52,29.2,59.0,30.1,20.0,,,0.0,0.0,,11,False
1521X,2026-07-28 00:00:00+00:00,31.9,25.5,29.77,28.7,37.0,31.1,24.0,2.12,8.4,0.0,0.0,,9,False
1535I,2026-07-28 00:00:00+00:00,36.0,22.0,30.35,29.0,51.0,34.2,25.0,3.13,8.6,0.0,0.0,,13,False
1541B,2026-07-28 00:00:00+00:00,35.6,20.9,30.51,28.25,62.0,28.2,17.0,1.84,11.0,0.0,0.0,,12,False
1542,2026-07-28 00:00:00+00:00,27.6,16.6,23.37,22.1,79.0,41.5,22.0,3.84,13.9,0.0,0.0,589.0,13,False
1549,2026-07-28 00:00:00+00:00,37.2,24.1,32.97,30.65,43.0,25.2,14.0,1.93,7.7,0.0,0.0,587.7,13,False
1561I,2026-07-28 00:00:00+00:00,35.6,25.3,32.36,30.45,43.0,26.5,18.0,,,0.0,0.0,,11,False
1583X,2026-07-28 00:00:00+00:00,38.4,26.9,35.89,32.65,34.0,22.8,16.0,,,0.0,0.0,,10,False
1631E,2026-07-28 00:00:00+00:00,35.2,22.4,30.33,28.8,53.0,31.3,16.0,2.47,8.8,0.0,0.0,531.0,13,False
1639X,2026-07-28 00:00:00+00:00,34.0,22.9,31.28,28.45,52.0,33.1,24.0,3.57,14.5,0.0,0.0,,10,False
1658,2026-07-28 00:00:00+00:00,33.8,24.2,31.38,29.0,52.0,34.9,23.0,,,0.0,0.0,,10,False
1679A,2026-07-28 00:00:00+00:00,39.2,23.2,33.18,31.2,63.0,38.0,26.0,1.39,7.4,0.0,0.0,,12,False
1690A,2026-07-28 00:00:00+00:00,40.3,25.5,34.11,32.9,48.0,29.0,20.0,1.8,8.4,0.0,0.0,621.4,13,False
1696O,2026-07-28 00:00:00+00:00,35.2,23.6,31.19,29.4,62.0,40.1,32.0,,,0.0,0.0,,9,False
1700X,2026-07-28 00:00:00+00:00,37.1,17.8,29.95,27.45,60.0,37.6,22.0,1.52,7.4,0.0,0.0,,13,False
1701X,2026-07-28 00:00:00+00:00,39.1,25.6,33.8,32.35,49.0,32.8,26.0,2.77,11.3,0.0,0.0,,12,False
1706A,2026-07-28 00:00:00+00:00,37.0,26.4,32.98,31.7,40.0,31.2,23.0,,,0.0,0.0,,11,False
1719,2026-07-28 00:00:00+00:00,32.4,24.9,28.84,28.65,59.0,42.1,30.0,,,0.0,0.0,,11,False
1723X,2026-07-28 00:00:00+00:00,36.2,26.3,33.36,31.25,47.0,35.6,26.0,,,,,,8,False
1730E,2026-07-28 00:00:00+00:00,30.0,23.8,26.96,26.9,70.0,60.8,50.0,,,0.0,0.0,,9,False
1735X,2026-07-28 00:00:00+00:00,37.1,18.3,30.65,27.7,66.0,31.8,17.0,2.88,9.4,0.0,0.0,,13,False
1738U,2026-07-28 00:00:00+00:00,35.3,26.3,31.57,30.8,49.0,37.0,28.0,,,0.0,0.0,,10,False
1740,2026-07-28 00:00:00+00:00,30.7,21.6,27.07,26.15,86.0,65.8,38.0,1.23,4.1,0.0,0.0,,12,False
2005Y,2026-07-28 00:00:00+00:00,34.4,19.5,29.85,26.95,46.0,28.6,17.0,,,0.0,0.0,,12,False
2017Y,2026-07-28 00:00:00+00:00,34.5,25.7,31.82,30.1,35.0,24.3,17.0,3.28,8.6,0.0,0.0,,10,False
2030,2026-07-28 00:00:00+00:00,35.6,24.4,31.62,30.0,38.0,20.9,11.0,2.23,7.7,0.0,0.0,558.7,13,False
2044B,2026-07-28 00:00:00+00:00,35.1,22.5,30.95,28.8,36.0,21.8,15.0,2.48,7.7,0.0,0.0,,13,False
2048A,2026-07-28 00:00:00+00:00,37.0,20.9,32.37,28.95,39.0,23.8,16.0,2.13,9.1,0.0,0.0,,12,False
2059B,2026-07-28 00:00:00+00:00,34.8,23.6,31.37,29.2,32.0,24.2,19.0,4.75,10.7,0.0,0.0,,13,False
2084Y,2026-07-28 00:00:00+00:00,34.8,18.7,29.53,26.75,60.0,32.1,18.0,,,0.0,0.0,,12,False
2092,2026-07-28 00:00:00+00:00,36.8,24.9,33.18,30.85,29.0,19.7,14.0,2.48,12.8,0.0,0.0,,12,False
2096B,2026-07-28 00:00:00+00:00,35.6,30.6,33.78,33.1,23.0,18.7,16.0,3.0,10.5,0.0,0.0,,9,False
2106B,2026-07-28 00:00:00+00:00,35.4,26.4,32.39,30.9,28.0,20.7,17.0,2.18,7.3,0.0,0.0,,12,False
2117D,2026-07-28 00:00:00+00:00,36.1,20.0,30.88,28.05,53.0,24.8,13.0,0.86,5.4,0.0,0.0,51.0,13,False
2135A,2026-07-28 00:00:00+00:00,39.1,22.2,33.34,30.65,38.0,23.4,18.0,2.91,13.3,0.0,0.0,,13,False
2140A,2026-07-28 00:00:00+00:00,34.5,24.8,31.3,29.65,27.0,20.3,15.0,3.07,8.8,0.0,0.0,,12,False
2166Y,2026-07-28 00:00:00+00:00,35.5,22.8,33.05,29.15,39.0,24.5,18.0,,,0.0,0.0,,10,False
2172Y,2026-07-28 00:00:00+00:00,37.9,26.7,35.3,32.3,34.0,21.8,15.0,2.06,13.4,0.0,0.0,,9,False
2182C,2026-07-28 00:00:00+00:00,35.2,28.3,32.72,31.75,25.0,18.4,16.0,2.73,11.0,0.0,0.0,,11,False
2243A,2026-07-28 00:00:00+00:00,35.8,21.4,30.95,28.6,54.0,30.8,21.0,2.48,9.7,0.0,0.0,,12,False
2276B,2026-07-28 00:00:00+00:00,35.6,22.2,31.28,28.9,39.0,25.9,20.0,2.97,9.4,0.0,0.0,,12,False
2285B,2026-07-28 00:00:00+00:00,36.4,23.4,31.44,29.9,35.0,19.9,14.0,3.09,11.0,0.0,0.0,,13,False
2290Y,2026-07-28 00:00:00+00:00,37.0,26.7,34.27,31.85,34.0,23.3,18.0,1.89,7.0,0.0,0.0,,10,False
2296A,2026-07-28 00:00:00+00:00,36.2,22.9,31.44,29.55,41.0,28.2,21.0,2.82,9.6,0.0,0.0,,12,False
2298,2026-07-28 00:00:00+00:00,35.2,19.9,30.02,27.55,37.0,19.8,11.0,2.28,8.0,0.0,0.0,545.0,13,False
2302N,2026-07-28 00:00:00+00:00,32.7,19.5,28.81,26.1,47.0,27.7,18.0,2.29,8.9,0.0,0.0,,13,False
2311Y,2026-07-28 00:00:00+00:00,35.5,26.1,32.18,30.8,28.0,22.9,18.0,1.97,6.8,0.0,0.0,,13,False
2331,2026-07-28 00:00:00+00:00,35.4,20.7,30.96,28.05,44.0,21.8,15.0,3.02,9.0,0.0,0.0,589.4,13,False
2362C,2026-07-28 00:00:00+00:00,29.4,23.5,27.13,26.45,28.0,21.3,16.0,5.34,13.0,0.0,0.0,,11,False
2374X,2026-07-28 00:00:00+00:00,34.6,18.0,28.61,26.3,63.0,32.7,16.0,1.15,7.2,0.0,0.0,525.0,13,False
