indicativo,lat,lon,alt,ubi
2742R,42.466446,-5.779854,850.0,BUSTILLO DEL PÁRAMO-LAS MATILLAS
2755X,42.010907,-5.666803,715.0,BENAVENTE
2766E,42.082615,-6.639735,933.0,EL PUENTE (CASA FORESTAL)
2775X,41.941501,-6.279668,850.0,VILLARDECIERVOS
2777K,42.078138,-6.007296,737.0,SANTIBAÑEZ DE VIDRIALES
2789H,41.785554,-5.909007,711.0,POZUELO DE TABARA
2804F,41.533996,-6.141833,790.0,VILLADEPERA
2828Y,40.355386,-5.519077,1012.0,BARCO DE AVILA
2847X,40.675599,-5.643454,865.0,PEDROSILLO DE LOS AIRES-CASTILLEJO
2863C,40.732205,-5.36619,897.0,PEDRAZA DE ALBA-VALLELARGO
2867,40.959572,-5.498292,790.0,SALAMANCA/MATACAN
2870X,40.960278,-5.686389,772.0,SALAMANCA - HUERTOS URBANOS
2873X,40.903607,-5.779717,817.0,BARBADILLO
2882D,41.238902,-5.897441,1003.0,EVC_PEÑAUSENDE
2885K,41.304443,-6.022286,804.0,FRESNO DE SAYAGO
2891A,41.262778,-6.462222,690.0,VILLARINO DE LOS AIRES
2914C,40.786039,-6.20289,785.0,BOADILLA FUENTE SAN ESTEBAN
2916A,41.011441,-6.437733,769.0,VITIGUDINO
2918Y,40.569447,-6.223616,1027.0,EL MAILLO (BASE AVIONES - AUTOMATICA)
2926B,40.851426,-6.60902,748.0,BAÑOBAREZ
2930Y,40.29663,-6.812855,880.0,NAVASFRIAS
2945A,40.485117,-6.57708,805.0,EL BODÓN-BASE AEREA
2946X,40.635023,-6.600021,680.0,SAELICES EL CHICO
2966D,41.683464,-6.301295,840.0,ALCAÑICES-VIVINERA
2969U,42.027265,-7.183055,910.0,MESÓN EROSA
2978X,41.926666,-7.422059,380.0,AGUAS DE CABREIROA
3013,40.841653,-1.878928,1061.72,MOLINA DE ARAGÓN
3021Y,40.758333,-2.199722,1250.46,ZAOREJAS
3040X,40.543152,-2.079306,1394.0,BETETA AERÓDROMO
3040Y,40.57167,-2.076393,1214.0,BETETA
3094B,40.011389,-3.021667,818.96,TARANCON
3099Y,39.935165,-3.496134,733.0,OCAÑA
3100B,40.06714,-3.546025,540.0,ARANJUEZ
3103,41.003611,-3.301944,910.0,PANTANO EL VADO
